date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:52:22	20626/20626	U-----	200	untouched ('')	image/png	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/images/socialmedia/8facebook.png	/home/boss/websites/Israel/fashionteknology.com/images/socialmedia/8facebook.png	(from http://fashionteknology.com/)
00:52:22	23889/23889	U-----	200	untouched ('')	image/png	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/images/socialmedia/8twitter.png	/home/boss/websites/Israel/fashionteknology.com/images/socialmedia/8twitter.png	(from http://fashionteknology.com/)
00:52:51	972/972	U-----	200	untouched ('')	image/png	etag:%22v1%22	https://lh3.googleusercontent.com/ZUffJ0S0DLHpGL-onfx1XIsrrH68WQS4JXMYeZqwcBXcrgJQ1qeDY0eQ4DMw54mFgXXH1ofPhCNtEu_IOOe5YS9loiVpKUTCj2Phe0vT	/home/boss/websites/Israel/lh3.googleusercontent.com/unnamed.png	(from http://fashionteknology.com/)
00:52:57	5972/5972	U-----	200	untouched ('')	application/javascript	etag:%22uFquug%22	https://imos005-dot-im--os.appspot.com/js/imos.js?v=1.4.1g	/home/boss/websites/Israel/imos005-dot-im--os.appspot.com/js/imos3400.js	(from http://fashionteknology.com/)
00:52:57	7741/7741	U-----	200	untouched ('')	image/png	etag:%22v1%22	https://lh3.googleusercontent.com/VyTcQ7XZ7KvW7W1VFc48icj0oEgPPInPeksF8zzXFBaYCF2CpAa-77okaz8wrKMiZxBkZ197VVAEK6t1-tjgG-Ly31DZTgcw38-eqlbh	/home/boss/websites/Israel/lh3.googleusercontent.com/unnamed-2.png	(from http://fashionteknology.com/)
00:53:00	588/588	U-----	200	untouched ('')	image/png	etag:%22v1%22	https://lh3.googleusercontent.com/EWqW7DEI4kOTRMLjK2-ObFHp-EYBt5apFYZ1LVFAhLtTLjigCRfx5hCCTKbIjIm68VQ00p9twloHJ9w8=s50	/home/boss/websites/Israel/lh3.googleusercontent.com/unnamed-3.png	(from http://fashionteknology.com/)
00:53:01	13233/13233	U-----	200	untouched ('OK')	application/x-javascript	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/js/lightbox.js?v=1.4.1g	/home/boss/websites/Israel/fashionteknology.com/js/lightbox3400.js	(from http://fashionteknology.com/)
00:53:02	73/73	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202018%2022:53:01%20GMT	http://fashionteknology.com/nature-vibe.html	/home/boss/websites/Israel/fashionteknology.com/nature-vibe.html	(from http://fashionteknology.com/)
00:53:02	77519/77519	U-----	200	untouched ('OK')	application/x-javascript	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/js/spimeengine.js?v=1.4.1g	/home/boss/websites/Israel/fashionteknology.com/js/spimeengine3400.js	(from http://fashionteknology.com/)
00:53:03	1026121/1026121	URF---	200	untouched ('OK%20(cached)')	image/png		http://adverifai.com/wp-content/uploads/2017/11/fight_spam.png	/home/boss/websites/Israel/adverifai.com/wp-content/uploads/2017/11/fight_spam.png	(from http://adverifai.com/)
00:53:06	2330/-1	---M--	200	added ('OK')	application/rss+xml	date:Tue,%2002%20Jan%202018%2018:05:55%20GMT	http://adverifai.com/feed/	/home/boss/websites/Israel/adverifai.com/feed/index.html	(from http://adverifai.com/)
00:53:07	1737/-1	---M--	200	added ('OK')	application/rss+xml	date:Wed,%2008%20Nov%202017%2012:34:57%20GMT	http://adverifai.com/comments/feed/	/home/boss/websites/Israel/adverifai.com/comments/feed/index.html	(from http://adverifai.com/)
00:53:07	4856/4856	U-----	200	untouched ('OK')	text/css	date:Tue,%2002%20Jan%202018%2017:29:12%20GMT	http://adverifai.com/wp-content/plugins/themeisle-companion/obfx_modules/elementor-widgets/css/public.css?ver=2.2.7	/home/boss/websites/Israel/adverifai.com/wp-content/plugins/themeisle-companion/obfx_modules/elementor-widgets/css/public3cae.css	(from http://adverifai.com/)
00:53:13	31000/31000	U-----	200	untouched ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css?ver=2.2.7	/home/boss/websites/Israel/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min3cae.css	(from http://adverifai.com/)
